"Y" "X1" "X2" "X3" "X4" "X5"
3.1 9.41 59.5 20.6 91.7 29
4.1 10.47 53.2 5.7 69.1 196
3.2 8.19 52.1 10.8 59.2 176
7.7 12.78 56.8 46 116.9 322
7.8 12.07 43.7 52.4 105.3 157
4.5 10.05 52 36.7 87.5 184
4.3 9.42 50.6 24.8 62.8 508
2.9 8.9 49.7 12.7 86.9 52
1.6 8.82 58.2 3.8 51.7 80
6.5 19.56 59.9 17.2 113.7 306
2.1 8.02 55 3.8 46.5 91
1.3 8.16 60.9 1.9 58 73
6.3 9.74 54.4 11.4 76.1 221
2.7 7.14 57.6 13.1 92.6 92
4.9 11.07 53.2 28.5 122 768
5 7.78 45.5 20.9 71.6 489
2.8 9.97 58.2 16.5 76.5 90
4.5 11.46 56.9 15.6 97.7 191
4.6 10.16 54.2 8.4 51.5 831
4.1 9.05 51.2 20.5 79.8 195
1.7 8.09 56.9 7.6 56.9 92
6.2 10.15 51.9 16.4 59.2 568
4.7 8.77 54.5 5.2 47 143
4.5 9.31 47.2 30.2 101.3 170
4.9 10.23 53.2 9.9 77.9 752
2.9 10.79 44.2 2.6 56.6 461
4.5 9.61 52.4 6.9 87.2 487
5.6 11.48 57.6 20.3 82 252
7.6 11.41 61.1 16.6 97.9 535
3.1 8.63 54 8.4 56.2 76
2.5 8.54 56.1 27 82.5 98
5.3 8.15 54.9 12.3 79.8 99
2.9 8.86 51.3 9.5 87.5 100
4.3 8.3 57.2 6.8 83.8 167
5.5 7.63 52.1 11.6 61.1 197
4.5 8.28 48.1 26 101.8 108
4.1 7.13 55.7 9 39.6 279
5.7 11.18 51 18.8 55.9 595
1.3 8.92 53.9 2.2 79.5 56
6.4 11.62 53.9 25.5 99.2 133
2.9 7.91 52.8 11.9 79.5 477
4.9 9.89 50.5 17.7 103.6 167
2.9 10.8 63.9 1.6 57.4 130
4.8 9.84 62.2 12 82.3 600
6.1 13.59 54 24.2 111.7 312
4.2 9 56.3 14.6 76.4 72
4.6 7.84 49.1 7.1 87.9 60
4.3 7.65 47.1 16.4 65.7 318
6.6 13.95 65.9 15.6 133.5 356
3.4 8.45 38.8 12.9 85 235
5 11.03 49.9 19.7 102.1 318
4.4 7.7 56.9 12.2 67.9 129
4.8 10.24 49 36.3 112.6 195
6.3 8.84 56.3 29.6 82.6 85
5.3 11.77 54.1 17.3 56 196
3.9 11.15 56.5 7.7 73.9 281
4.3 10.39 54.6 14 88.3 353
5.7 11.8 53.8 9.1 116.9 571
5 9.78 52.3 17.6 95.9 270
4.3 8.67 48.2 24.4 90.8 182
3.5 8.03 54.2 24.3 87.3 97
3.4 10.42 58 8 59 119
4.4 8.88 55.8 14.1 76.8 237
4.7 10.72 53.8 23.2 94.1 113
3.9 10.73 50.6 19.3 101 445
4.4 10.02 49.5 8.3 93 265
4.4 11.65 54.5 18.6 96.1 248
5.5 11.08 50.2 18.6 63.6 387
5.6 10.12 51.7 14.9 79.1 362
4.2 8.88 51.5 10.1 86.9 305
5.2 9.53 51.5 15 65.7 298
5.3 9.77 50.2 15.7 89.7 154
5.8 11.41 50.4 23.8 73 424
5.4 11.18 45.7 60.5 85.8 640
